Адрес	Широта	Долгота	"Уникальный идентификатор объявления"	"Начало размещения"	"Окончание размещения"	"Способ размещения"	"Услуга продвижения"	"Номер объявления на Авито"	"Контактное лицо"	"Номер телефона"	"Идентификатор адреса"	"Способ связи"	Addresses	"Адреса отгрузки"	Категория	"Описание объявления"	"Названия фото"	"Ссылки на фото"	"Ссылка на видео"	"Настройка цены целевого действия"	"Настройка цены целевого действия: автоматическая"	"Настройка цены целевого действия: ручная"	"Название объявления"	"Интернет звонки"	"Устройства для приёма звонков"	"Способ доставки"	"Вес (Для Доставки)"	"Длина (Для Доставки)"	"Высота (Для Доставки)"	"Ширина (Для Доставки)"	Возвраты	"Субсидирование доставки"	Цена	"URL видеофайла"	"Вид товара"	"Вид объявления"	"Тип товара"	"Вид запчасти"	"Тип детали двигателя"	Состояние	Происхождение	Доступность	Производитель	"Номер детали OEM"	"Производитель оригинала"	"Номер оригинала"	"Авто для которых подходит запчасть"	"Включая НДС"	"Оптовые продажи"	"Тип минимального заказа"	"Количество в минимальном заказе"	Фасовка	"Количество в фасовке"	"В чём измеряются товары"	"Скидка за опт"	"Размер скидки за опт"
"Челябинская обл., Сосновский муниципальный округ, пос. Красное Поле, Северный тракт, 18/4"			8417166180					8417166180							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Челябинская обл., Сосновский муниципальный округ, пос. Красное Поле, Северный тракт, 18/4
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8417166180"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Рязанская обл., Рязань, Почтовая ул."			8417034641					8417034641							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Рязанская обл., Рязань, Почтовая ул.
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ryazan/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8417034641"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Ставропольский край, Ставрополь, Селекционная ул., 19/1"			8416909790					8416909790							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Ставропольский край, Ставрополь, Селекционная ул., 19/1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/stavropol/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8416909790"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Республика Татарстан (Татарстан), Казань, ул. Восстания, 100к8400"			8415618335					8415618335							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Республика Татарстан (Татарстан), Казань, ул. Восстания, 100к8400
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/kazan/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8415618335"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Кировская обл., Киров, Театральная пл."			8415205909					8415205909							"Запчасти и аксессуары"	"Двигатель Volkswagen Golf CHP
Город: Кировская обл., Киров, Театральная пл.
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/kirovskaya_oblast_kirov/zapchasti_i_aksessuary/dvigatel_volkswagen_golf_chp_8415205909"							"Двигатель Volkswagen Golf CHP"										130500							new																
"Астраханская обл., Астрахань, пл. имени Ленина"			8415159386					8415159386							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A1
Город: Астраханская обл., Астрахань, пл. имени Ленина
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/astrahan/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a1_8415159386"							"Двигатель Senova X25 A151A1"										107100							new																
"Оренбургская обл., Оренбург, пр. Автоматики, 8А"			8403633789					8403633789							"Запчасти и аксессуары"	"Двигатель Volkswagen Golf CHP
Город: Оренбургская обл., Оренбург, пр. Автоматики, 8А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/orenburg/zapchasti_i_aksessuary/dvigatel_volkswagen_golf_chp_8403633789"							"Двигатель Volkswagen Golf CHP"										130500							new																
"Пермский край, Пермь, Маршрутная ул., 19"			8403189687					8403189687							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Пермский край, Пермь, Маршрутная ул., 19
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/perm/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8403189687"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Красноярский край, Красноярск, ул. Маерчака, 49А"			8403125212					8403125212							"Запчасти и аксессуары"	"Двигатель Volkswagen Golf CHP
Город: Красноярский край, Красноярск, ул. Маерчака, 49А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/krasnoyarsk/zapchasti_i_aksessuary/dvigatel_volkswagen_golf_chp_8403125212"							"Двигатель Volkswagen Golf CHP"										130500							new																
"Республика Башкортостан, Уфа, Новосибирская ул., 2/1"			8402874888					8402874888							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A1
Город: Республика Башкортостан, Уфа, Новосибирская ул., 2/1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ufa/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a1_8402874888"							"Двигатель Senova X25 A151A1"										107100							new																
"Республика Башкортостан, Уфа, Новосибирская ул., 2/1"			8393806708					8393806708							"Запчасти и аксессуары"	"Двигатель Great Wall Wingle GW2.8TC
Город: Республика Башкортостан, Уфа, Новосибирская ул., 2/1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ufa/zapchasti_i_aksessuary/dvigatel_great_wall_wingle_gw2.8tc_8393806708"							"Двигатель Great Wall Wingle GW2.8TC"										139500							new																
"Республика Крым, Симферополь, Киевская ул., 146В"			8393517997					8393517997							"Запчасти и аксессуары"	"Двигатель Volkswagen Golf CHP
Город: Республика Крым, Симферополь, Киевская ул., 146В
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_volkswagen_golf_chp_8393517997"							"Двигатель Volkswagen Golf CHP"										130500							new																
"Воронежская обл., Воронеж, ул. Антонова-Овсеенко, 27"			8393386450					8393386450							"Запчасти и аксессуары"	"Двигатель Great Wall Wingle GW2.8TC
Город: Воронежская обл., Воронеж, ул. Антонова-Овсеенко, 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/voronezh/zapchasti_i_aksessuary/dvigatel_great_wall_wingle_gw2.8tc_8393386450"							"Двигатель Great Wall Wingle GW2.8TC"										139500							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			8393378392					8393378392							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8393378392"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8393307515					8393307515							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8393307515"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Удмуртская Республика, Ижевск, Воткинское ш., 202В"			8461212574					8461212574							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Удмуртская Республика, Ижевск, Воткинское ш., 202В
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/izhevsk/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8461212574"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8417800939					8417800939							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8417800939"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Кировская обл., Киров, Театральная пл."			8417232689					8417232689							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Кировская обл., Киров, Театральная пл.
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/kirovskaya_oblast_kirov/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8417232689"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Астраханская обл., Астрахань, пл. имени Ленина"			8403806051					8403806051							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Астраханская обл., Астрахань, пл. имени Ленина
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/astrahan/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8403806051"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Москва, Сормовский пр., 11с1"			8403544746					8403544746							"Запчасти и аксессуары"	"Двигатель Toyota Fortuner 2TR
Город: Москва, Сормовский пр., 11с1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/moskva/zapchasti_i_aksessuary/dvigatel_toyota_fortuner_2tr_8403544746"							"Двигатель Toyota Fortuner 2TR"										206100							new																
"Челябинская обл., Сосновский муниципальный округ, пос. Красное Поле, Северный тракт, 18/4"			8403077224					8403077224							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Челябинская обл., Сосновский муниципальный округ, пос. Красное Поле, Северный тракт, 18/4
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/chelyabinsk/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8403077224"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Саратовская обл., Саратов, Ново-Астраханское ш., 52А"			8394054565					8394054565							"Запчасти и аксессуары"	"Двигатель Great Wall Wingle GW2.8TC
Город: Саратовская обл., Саратов, Ново-Астраханское ш., 52А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/saratov/zapchasti_i_aksessuary/dvigatel_great_wall_wingle_gw2.8tc_8394054565"							"Двигатель Great Wall Wingle GW2.8TC"										139500							new																
"Свердловская обл., Екатеринбург, Ветеринарная ул., 9"			8393886246					8393886246							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Свердловская обл., Екатеринбург, Ветеринарная ул., 9
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ekaterinburg/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8393886246"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Пензенская обл., Пенза, пл. Ленина"			8393769945					8393769945							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Пензенская обл., Пенза, пл. Ленина
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/penza/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8393769945"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Кемеровская обл., Кемеровский г.о., Кемерово, Советский пр-т"			8393203557					8393203557							"Запчасти и аксессуары"	"Двигатель Great Wall Wingle GW2.8TC
Город: Кемеровская обл., Кемеровский г.о., Кемерово, Советский пр-т
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/kemerovo/zapchasti_i_aksessuary/dvigatel_great_wall_wingle_gw2.8tc_8393203557"							"Двигатель Great Wall Wingle GW2.8TC"										139500							new																
"Саратовская обл., Саратов, Ново-Астраханское ш., 52А"			8392956004					8392956004							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Саратовская обл., Саратов, Ново-Астраханское ш., 52А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/saratov/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8392956004"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Кировская обл., Киров, Театральная пл."			8389469190					8389469190							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A5
Город: Кировская обл., Киров, Театральная пл.
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/kirovskaya_oblast_kirov/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a5_8389469190"							"Двигатель Senova X25 A151A5"										119000							new																
"Ростовская обл., Ростов-на-Дону, ул. Нансена, 103Ис129"			8389385258					8389385258							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Ростовская обл., Ростов-на-Дону, ул. Нансена, 103Ис129
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/rostov-na-donu/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8389385258"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27"			8389339462					8389339462							"Запчасти и аксессуары"	"Двигатель Great Wall Wingle GW2.8TC
Город: Тюменская обл., Ханты-Мансийский АО — Югра, Сургут, ДПК Север, Межозёрная ул., 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/surgut/zapchasti_i_aksessuary/dvigatel_great_wall_wingle_gw2.8tc_8389339462"							"Двигатель Great Wall Wingle GW2.8TC"										139500							new																
"Кемеровская обл., Кемеровский г.о., Кемерово, Советский пр-т"			8384550251					8384550251							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Кемеровская обл., Кемеровский г.о., Кемерово, Советский пр-т
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/kemerovo/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8384550251"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Москва, Сормовский пр., 11с1"			8384237171					8384237171							"Запчасти и аксессуары"	"Двигатель Volkswagen Golf CHP
Город: Москва, Сормовский пр., 11с1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/moskva/zapchasti_i_aksessuary/dvigatel_volkswagen_golf_chp_8384237171"							"Двигатель Volkswagen Golf CHP"										130500							new																
"Свердловская обл., Екатеринбург, Ветеринарная ул., 9"			8384083948					8384083948							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Свердловская обл., Екатеринбург, Ветеринарная ул., 9
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ekaterinburg/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8384083948"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Омская обл., Омск, 26-я Северная ул., 13А/1Б"			8384028717					8384028717							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Омская обл., Омск, 26-я Северная ул., 13А/1Б
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/omsk/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8384028717"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Свердловская обл., Екатеринбург, Ветеринарная ул., 9"			8383924699					8383924699							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A23
Город: Свердловская обл., Екатеринбург, Ветеринарная ул., 9
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ekaterinburg/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a23_8383924699"							"Двигатель Senova X25 A151A23"										119000							new																
"Оренбургская обл., Оренбург, пр. Автоматики, 8А"			8375798770					8375798770							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Оренбургская обл., Оренбург, пр. Автоматики, 8А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/orenburg/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8375798770"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Республика Башкортостан, Уфа, Новосибирская ул., 2/1"			8375703861					8375703861							"Запчасти и аксессуары"	"Двигатель Great Wall Ноver Н5 4G64S4N
Город: Республика Башкортостан, Уфа, Новосибирская ул., 2/1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ufa/zapchasti_i_aksessuary/dvigatel_great_wall_nover_n5_4g64s4n_8375703861"							"Двигатель Great Wall Ноver Н5 4G64S4N"										89100							new																
"Республика Крым, Симферополь, Киевская ул., 146В"			8375575991					8375575991							"Запчасти и аксессуары"	"Двигатель Toyota Fortuner 2TR
Город: Республика Крым, Симферополь, Киевская ул., 146В
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_toyota_fortuner_2tr_8375575991"							"Двигатель Toyota Fortuner 2TR"										206100							new																
"Санкт-Петербург, Партизанская ул., 23к2"			8375436659					8375436659							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Санкт-Петербург, Партизанская ул., 23к2
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/sankt-peterburg/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8375436659"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Ульяновская обл., Ульяновск, Профсоюзная ул., 64А"			8375224952					8375224952							"Запчасти и аксессуары"	"Двигатель Great Wall Wingle GW2.8TC
Город: Ульяновская обл., Ульяновск, Профсоюзная ул., 64А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ulyanovsk/zapchasti_i_aksessuary/dvigatel_great_wall_wingle_gw2.8tc_8375224952"							"Двигатель Great Wall Wingle GW2.8TC"										139500							new																
"Республика Крым, Симферополь, Киевская ул., 146В"			8375178090					8375178090							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Республика Крым, Симферополь, Киевская ул., 146В
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/simferopol/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8375178090"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Свердловская обл., Екатеринбург, Ветеринарная ул., 9"			8374821866					8374821866							"Запчасти и аксессуары"	"Двигатель Great Wall Wingle GW2.8TC
Город: Свердловская обл., Екатеринбург, Ветеринарная ул., 9
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ekaterinburg/zapchasti_i_aksessuary/dvigatel_great_wall_wingle_gw2.8tc_8374821866"							"Двигатель Great Wall Wingle GW2.8TC"										139500							new																
"Москва, Сормовский пр., 11с1"			8374737816					8374737816							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Москва, Сормовский пр., 11с1
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/moskva/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8374737816"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Чувашская Республика — Чувашия, г.о. Чебоксары, Ленинский район, пл. Республики"			8374122443					8374122443							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Чувашская Республика — Чувашия, г.о. Чебоксары, Ленинский район, пл. Республики
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/cheboksary/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8374122443"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Астраханская обл., Астрахань, пл. имени Ленина"			8374074599					8374074599							"Запчасти и аксессуары"	"Двигатель Volkswagen Scirocco CCZ
Город: Астраханская обл., Астрахань, пл. имени Ленина
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/astrahan/zapchasti_i_aksessuary/dvigatel_volkswagen_scirocco_ccz_8374074599"							"Двигатель Volkswagen Scirocco CCZ"										168300							new																
"Рязанская обл., Рязань, Почтовая ул."			8374006898					8374006898							"Запчасти и аксессуары"	"Двигатель Great Wall Wingle GW2.8TC
Город: Рязанская обл., Рязань, Почтовая ул.
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ryazan/zapchasti_i_aksessuary/dvigatel_great_wall_wingle_gw2.8tc_8374006898"							"Двигатель Great Wall Wingle GW2.8TC"										139500							new																
"Новосибирская обл., Новосибирск, Красный пр-т"			8373913161					8373913161							"Запчасти и аксессуары"	"Двигатель Geely Otaka MR479QA-8A
Город: Новосибирская обл., Новосибирск, Красный пр-т
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/novosibirsk/zapchasti_i_aksessuary/dvigatel_geely_otaka_mr479qa-8a_8373913161"							"Двигатель Geely Otaka MR479QA-8A"										89100							new																
"Воронежская обл., Воронеж, ул. Антонова-Овсеенко, 27"			8373856537					8373856537							"Запчасти и аксессуары"	"Двигатель Senova X25 A151A3
Город: Воронежская обл., Воронеж, ул. Антонова-Овсеенко, 27
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/voronezh/zapchasti_i_aksessuary/dvigatel_senova_x25_a151a3_8373856537"							"Двигатель Senova X25 A151A3"										119000							new																
"Красноярский край, Красноярск, ул. Маерчака, 49А"			8363392160					8363392160							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Красноярский край, Красноярск, ул. Маерчака, 49А
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/krasnoyarsk/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8363392160"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Рязанская обл., Рязань, Почтовая ул."			8363387863					8363387863							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Рязанская обл., Рязань, Почтовая ул.
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/ryazan/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8363387863"							"Двигатель Opel Zafira Z16XER"										116100							new																
"Волгоградская обл., Волгоград, ул. Пржевальского, 20"			8363127694					8363127694							"Запчасти и аксессуары"	"Двигатель Opel Zafira Z16XER
Город: Волгоградская обл., Волгоград, ул. Пржевальского, 20
Категория: Запчасти и аксессуары
Ссылка: https://www.avito.ru/volgograd/zapchasti_i_aksessuary/dvigatel_opel_zafira_z16xer_8363127694"							"Двигатель Opel Zafira Z16XER"										116100							new																
